cat,name,zh,lat,lon,role,when,verdict,note,tags
База,Ascott Dadonghai Bay Sanya,三亚雅诗阁山海天服务公寓 / 三亚绿发山海天雅诗阁服务公寓,18.221,109.5207,Отель / база,каждый день,"База отличная: Dadonghai, пляж, бары, DiDi","Адрес: 海韵路66号, 大东海. Координаты приблизительные; в Amap ищите китайское название.","['бар', 'море', 'рядом']"
Транспорт,Sanya Phoenix International Airport,三亚凤凰国际机场,18.3029,109.4123,Аэропорт,5 и 14 июля,"DiDi/такси, не автобус для раннего рейса",Для вылета: 国际出发 / international departures.,['транспорт']
Пляж,Dadonghai Beach,大东海,18.2223,109.5195,Домашний пляж,утро/вечер,"Удобно, но не самый вау пляж",Купаться только в разрешённых зонах и по флагам.,"['жара', 'море', 'рядом']"
Вид,Luhuitou Scenic Area,鹿回头风景区,18.2206,109.499,Закат / вид на город,17:30-20:00,Точно стоит как лёгкий вечер,"Не полдня, а sunset-стоп рядом с Dadonghai.","['жара', 'природа', 'рядом', 'фото']"
Остров,West Island Tourist Center,西岛游客中心,18.2634,109.3733,Причал на West Island,лучше утром,Остров №1 для поездки,Если ветер/ливень - не плыть.,"['жара', 'море', 'транспорт']"
Остров,West Island / Niuwangling,西岛 / 牛王岭,18.2315,109.3808,"Остров, фото, купание",08:30-15:30,Точно стоит,"Рыбацкая деревня + фото + море; меньше конвейера, чем Wuzhizhou.","['море', 'фото']"
Пляж,Yalong Bay Beach,亚龙湾海滩,18.2266,109.6252,Лучший классический пляж,утро или после 16:00,Точно стоит для купания,"Красивее Dadonghai, но днём жарко.","['жара', 'море', 'рядом']"
Природа,Yalong Bay Tropical Paradise Forest Park,亚龙湾热带天堂森林公园,18.2478,109.6423,Виды / лесной парк,08:00-12:30,"Стоит 1 раз, туристично",Доплаты за мосты/аттракционы; не идти в ливень.,"['море', 'природа', 'фото']"
Фото,Sun Bay Road viewpoint,太阳湾路观景点,18.2073,109.6422,Coastal road / фото,утро/закат,Красиво как фотостоп,Лучше совмещать с Yalong Bay.,"['жара', 'море', 'фото']"
Природа,Yanoda Rainforest,呀诺达热带雨林文化旅游区,18.4015,109.6738,Джунгли,утром,Возможно стоит,"Хорошо в лёгкий дождь, плохо в ливень/духоту.","['дождь', 'жара', 'природа']"
